Fecha,Condicion equipos,Equipo,Rival,Número Camiseta,Apellido,Nombre,Nombre completo,Segundos jugados,Tiempo jugado (mm:ss),Puntos,T2A,T2I,T2%,T3A,T3I,T3%,T1A,T1I,T1%,DReb,OReb,TReb,Asistencias,Recuperos,Perdidas,Tapones cometidos,Tapones recibidos,Faltas Cometidas,Faltas Recibidas,Valoracion,Ganado,Estadio,IdPartido,Etapa,Titular,Plus/minus
10/12/2025,LOCAL,URU,ARG,13,RAMÍREZ,VALENTINO,"RAMÍREZ, V.",1080,18:0,4,2,2,100.0,0,0,0.0,0,1,0.0,2,0,2,0,0,1,1,0,1,1,5,0,"Estadio Primero de Marzo, Asunción",125521,Grupo A,0,-16
10/12/2025,LOCAL,URU,ARG,11,TESTA,NICOLAS,"TESTA, N.",1353,22:33,8,1,4,25.0,2,4,50.0,0,0,0.0,2,4,6,1,1,6,0,0,1,0,5,0,"Estadio Primero de Marzo, Asunción",125521,Grupo A,1,-19
10/12/2025,LOCAL,URU,ARG,10,GOMEZ,LAUTARO,"GOMEZ, L.",1030,17:10,14,7,12,58.3,0,0,0.0,0,1,0.0,4,4,8,1,1,2,1,0,3,1,17,0,"Estadio Primero de Marzo, Asunción",125521,Grupo A,1,-12
10/12/2025,LOCAL,URU,ARG,8,CRUZ,FEDERICO,"CRUZ, F.",1288,21:28,2,1,4,25.0,0,0,0.0,0,0,0.0,2,1,3,4,0,4,0,0,0,6,2,0,"Estadio Primero de Marzo, Asunción",125521,Grupo A,0,-24
10/12/2025,LOCAL,URU,ARG,5,IZUIBEJERES,FACUNDO,"IZUIBEJERES, F.",610,10:10,0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,3,0,2,0,0,2,0,-2,0,"Estadio Primero de Marzo, Asunción",125521,Grupo A,0,-4
10/12/2025,LOCAL,URU,ARG,4,PASTRANA,MANUEL,"PASTRANA, M.",1269,21:9,0,0,4,0.0,0,2,0.0,0,0,0.0,3,2,5,0,1,1,0,0,0,0,-1,0,"Estadio Primero de Marzo, Asunción",125521,Grupo A,0,-15
10/12/2025,LOCAL,URU,ARG,0,ABAL,TOMAS,"ABAL, T.",1038,17:18,7,1,1,100.0,1,1,100.0,2,2,100.0,2,0,2,1,0,0,0,0,3,3,10,0,"Estadio Primero de Marzo, Asunción",125521,Grupo A,0,-13
10/12/2025,LOCAL,URU,ARG,15,VENET,GABRIEL,"VENET, G.",756,12:36,2,1,4,25.0,0,2,0.0,0,0,0.0,1,1,2,1,0,3,0,0,4,0,-3,0,"Estadio Primero de Marzo, Asunción",125521,Grupo A,1,-16
10/12/2025,LOCAL,URU,ARG,19,FATA,GABRIEL,"FATA, G.",1197,19:57,11,3,7,42.9,1,5,20.0,2,2,100.0,3,0,3,3,0,1,0,0,2,5,8,0,"Estadio Primero de Marzo, Asunción",125521,Grupo A,1,-18
10/12/2025,LOCAL,URU,ARG,21,MICHAELSSON,THIAGO,"MICHAELSSON, T.",1041,17:21,6,3,4,75.0,0,0,0.0,0,2,0.0,2,0,2,0,0,0,0,0,1,1,5,0,"Estadio Primero de Marzo, Asunción",125521,Grupo A,0,-15
