Fecha,Condicion equipos,Equipo,Rival,Número Camiseta,Apellido,Nombre,Nombre completo,Segundos jugados,Tiempo jugado (mm:ss),Puntos,T2A,T2I,T2%,T3A,T3I,T3%,T1A,T1I,T1%,DReb,OReb,TReb,Asistencias,Recuperos,Perdidas,Tapones cometidos,Tapones recibidos,Faltas Cometidas,Faltas Recibidas,Valoracion,Ganado,Estadio,IdPartido,Etapa,Titular,Plus/minus
01/06/2026,LOCAL,USA,ARG,15,TAYLOR,ETHAN,"TAYLOR, E.",957,15:57,4,1,2,50.0,0,0,0.0,2,6,33.3,3,4,7,3,1,5,1,0,3,4,6,1,"Domo de la Feria, León, México",130879,Grupo A,1,15
01/06/2026,LOCAL,USA,ARG,14,HENRY,DEMARCUS,"HENRY, D.",810,13:30,2,1,1,100.0,0,2,0.0,0,2,0.0,5,0,5,0,1,0,1,0,1,1,5,1,"Domo de la Feria, León, México",130879,Grupo A,0,18
01/06/2026,LOCAL,USA,ARG,13,WABBINGTON,DARIUS,"WABBINGTON, D.",1026,17:6,12,3,4,75.0,0,1,0.0,6,6,100.0,4,1,5,4,1,1,0,0,2,4,19,1,"Domo de la Feria, León, México",130879,Grupo A,0,18
01/06/2026,LOCAL,USA,ARG,12,GASKINS,CALEB,"GASKINS, C.",1326,22:6,11,4,6,66.7,1,2,50.0,0,0,0.0,0,1,1,2,1,1,0,0,3,0,11,1,"Domo de la Feria, León, México",130879,Grupo A,1,8
01/06/2026,LOCAL,USA,ARG,11,COLEMAN,QUENTIN,"COLEMAN, Q.",1277,21:17,11,4,10,40.0,1,3,33.3,0,0,0.0,8,7,15,2,1,1,0,0,1,1,20,1,"Domo de la Feria, León, México",130879,Grupo A,0,30
01/06/2026,LOCAL,USA,ARG,10,DIGGS,ADAN,"DIGGS, A.",1175,19:35,12,3,5,60.0,2,4,50.0,0,0,0.0,6,2,8,1,0,1,1,0,2,1,17,1,"Domo de la Feria, León, México",130879,Grupo A,1,8
01/06/2026,LOCAL,USA,ARG,9,JERVIS,JASIAH,"JERVIS, J.",529,8:49,0,0,1,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-4,1,"Domo de la Feria, León, México",130879,Grupo A,0,11
01/06/2026,LOCAL,USA,ARG,8,BRANCH III,BRUCE,"BRANCH III, B.",949,15:49,7,3,4,75.0,0,1,0.0,1,5,20.0,3,3,6,1,1,1,0,0,2,3,8,1,"Domo de la Feria, León, México",130879,Grupo A,0,4
01/06/2026,LOCAL,USA,ARG,7,LANDREW,COLBEN,"LANDREW, C.",1163,19:23,8,0,3,0.0,2,6,33.3,2,4,50.0,4,1,5,1,1,1,1,0,3,2,6,1,"Domo de la Feria, León, México",130879,Grupo A,1,-2
01/06/2026,LOCAL,USA,ARG,6,THOMPSON,DAVION,"THOMPSON, D.",1211,20:11,11,2,3,66.7,1,2,50.0,4,6,66.7,4,0,4,2,0,3,0,0,0,7,10,1,"Domo de la Feria, León, México",130879,Grupo A,0,29
01/06/2026,LOCAL,USA,ARG,5,JORDAN,MALACHI,"JORDAN, M.",610,10:10,4,1,5,20.0,0,1,0.0,2,4,50.0,0,3,3,0,5,1,0,0,1,2,4,1,"Domo de la Feria, León, México",130879,Grupo A,0,16
01/06/2026,LOCAL,USA,ARG,4,KINNEY,TAYLEN,"KINNEY, T.",967,16:7,6,3,4,75.0,0,2,0.0,0,1,0.0,0,0,0,5,2,1,0,0,1,1,8,1,"Domo de la Feria, León, México",130879,Grupo A,1,-5
01/06/2026,VISITANTE,ARG,USA,32,PETTOVELLO,BENJAMIN,"PETTOVELLO, B.",1114,18:34,5,2,5,40.0,0,0,0.0,1,2,50.0,1,2,3,1,3,2,0,0,3,2,6,0,"Domo de la Feria, León, México",130879,Grupo A,1,-8
01/06/2026,VISITANTE,ARG,USA,16,GROPPA,GENARO,"GROPPA, G.",511,8:31,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,2,0,0,1,0,-1,0,"Domo de la Feria, León, México",130879,Grupo A,0,0
