liga,equipo,ciudad,provincia,lat,lng
liga_nacional,ARGENTINO (J),Junín,Buenos Aires,-34.5833,-60.9500
liga_nacional,ATENAS (C),Córdoba,Córdoba,-31.4135,-64.1811
liga_nacional,BOCA,Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.6037,-58.3816
liga_nacional,FERRO,Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.6037,-58.3816
liga_nacional,GIMNASIA (CR),Comodoro Rivadavia,Chubut,-45.8667,-67.5000
liga_nacional,INDEPENDIENTE (O),Oberá,Misiones,-27.4870,-55.1184
liga_nacional,INSTITUTO,Córdoba,Córdoba,-31.4135,-64.1811
liga_nacional,LA UNION FSA.,Formosa,Formosa,-26.1775,-58.1781
liga_nacional,OBERÁ,Oberá,Misiones,-27.4870,-55.1184
liga_nacional,OBRAS,Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.6037,-58.3816
liga_nacional,OLÍMPICO (LB),La Banda,Santiago del Estero,-27.7360,-64.2433
liga_nacional,PEÑAROL (MDP),Mar del Plata,Buenos Aires,-38.0023,-57.5575
liga_nacional,PLATENSE,Vicente López,Buenos Aires,-34.5268,-58.4783
liga_nacional,QUIMSA,Santiago del Estero,Santiago del Estero,-27.7951,-64.2615
liga_nacional,RACING (CH),Chivilcoy,Buenos Aires,-34.8983,-60.0167
liga_nacional,REGATAS (C),Corrientes,Corrientes,-27.4806,-58.8341
liga_nacional,SAN LORENZO,Buenos Aires,Ciudad Autónoma de Buenos Aires,-34.6037,-58.3816
liga_nacional,SAN MARTÍN (C),Corrientes,Corrientes,-27.4806,-58.8341
liga_nacional,UNION (SF),Santa Fe,Santa Fe,-31.6333,-60.7000
liga_argentina,AMANCAY (LR),La Rioja,La Rioja,-29.4131,-66.8458
liga_argentina,BARRIO PARQUE,Córdoba,Córdoba,-31.4135,-64.1811
liga_argentina,BOCHAS (CC),Colonia Caroya,Córdoba,-30.9833,-64.0833
liga_argentina,CENTENARIO (VT),Venado Tuerto,Santa Fe,-33.7500,-61.9667
liga_argentina,CENTRAL ENTRERRIANO,Gualeguaychú,Entre Ríos,-33.0055,-58.5130
liga_argentina,CICLISTA (J),Junín,Buenos Aires,-34.5833,-60.9500
liga_argentina,COLON (SF),Santa Fe,Santa Fe,-31.6333,-60.7000
liga_argentina,COMUNICACIONES,Mercedes,Corrientes,-29.1833,-58.0833
liga_argentina,DEP. NORTE,Armstrong,Santa Fe,-32.7833,-61.6000
liga_argentina,DEP. VIEDMA,Viedma,Río Negro,-40.8135,-62.9967
liga_argentina,EL TALAR,El Talar,Buenos Aires,-34.4131,-58.6511
liga_argentina,ESTUDIANTES (T),San Miguel de Tucumán,Tucumán,-26.8083,-65.2176
liga_argentina,FUSION RIOJANA,La Rioja,La Rioja,-29.4131,-66.8458
liga_argentina,GIMNASIA (LP),La Plata,Buenos Aires,-34.9205,-57.9536
liga_argentina,HINDU (C),Córdoba,Córdoba,-31.4135,-64.1811
liga_argentina,HURACAN (LH),Las Heras,Mendoza,-32.8500,-68.8167
liga_argentina,INDEPENDIENTE (SDE),Santiago del Estero,Santiago del Estero,-27.7951,-64.2615
liga_argentina,JUJUY BASQUET,San Salvador de Jujuy,Jujuy,-24.1858,-65.2995
liga_argentina,LA UNIÓN (C),Colón,Entre Ríos,-32.2167,-58.1500
liga_argentina,LANÚS,Lanús,Buenos Aires,-34.7008,-58.3939
liga_argentina,PERGAMINO BASQUET,Pergamino,Buenos Aires,-33.8872,-60.5701
liga_argentina,PICO F.C.,General Pico,La Pampa,-35.6558,-63.7552
liga_argentina,PROVINCIAL (R),Rosario,Santa Fe,-32.9442,-60.6505
liga_argentina,QUILMES (MDP),Mar del Plata,Buenos Aires,-38.0023,-57.5575
liga_argentina,RACING (A),Avellaneda,Buenos Aires,-34.6648,-58.3649
liga_argentina,RIVADAVIA (MZA),Mendoza,Mendoza,-32.8895,-68.8458
liga_argentina,ROCAMORA,Concepción del Uruguay,Entre Ríos,-32.4833,-58.2333
liga_argentina,SALTA BASKET,Salta,Salta,-24.7859,-65.4117
liga_argentina,SAN ISIDRO,San Francisco,Córdoba,-31.4272,-62.0874
liga_argentina,SANTA PAULA (G),Gálvez,Santa Fe,-32.0333,-61.2167
liga_argentina,SP. SUARDI,Suardi,Santa Fe,-30.5333,-61.9667
liga_argentina,UNION (MDP),Mar del Plata,Buenos Aires,-38.0023,-57.5575
liga_argentina,VILLA MITRE (BB),Bahía Blanca,Buenos Aires,-38.7196,-62.2724
liga_argentina,VILLA SAN MARTIN,Resistencia,Chaco,-27.4514,-58.9867
