team,jersey,player,tackles_made,tackles_won,blocks,interceptions,pressing_contests,clearances,pushing_on_won,pressing_direct,pressing_indirect,duels_aerial,duels_physical,loose_ball,pushing_on_pressing,poss_regains,poss_interrupted,match_num,group,date,home,away,home_score,away_score
Mexico,1,Raul RANGEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,17,Evidence MAKGOPA,0.0,0.0,0.0,0.0,1.0,11.0,3.0,0.0,3.0,0.0,2.0,6.0,6.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,11,Themba ZWANE,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,9.0,5.0,1.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,7,Oswin APPOLLIS,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,5,Thalente MBATHA,2.0,0.0,2.0,0.0,4.0,22.0,1.0,1.0,3.0,1.0,1.0,21.0,11.0,1.0,3.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,23,Jayden ADAMS,1.0,0.0,3.0,0.0,1.0,22.0,0.0,0.0,1.0,0.0,3.0,20.0,11.0,2.0,1.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,21,Ime OKON,2.0,1.0,1.0,0.0,1.0,8.0,2.0,0.0,2.0,4.0,7.0,29.0,3.0,9.0,1.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,20,Khuliso MUDAU,5.0,0.0,2.0,1.0,4.0,30.0,0.0,0.0,1.0,2.0,1.0,27.0,17.0,2.0,3.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,19,Nkosinathi SIBISI,0.0,0.0,0.0,2.0,6.0,9.0,0.0,0.0,1.0,2.0,5.0,40.0,6.0,5.0,1.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,14,Mbekezeli MBOKAZI,4.0,1.0,3.0,3.0,8.0,18.0,0.0,0.0,0.0,1.0,2.0,21.0,12.0,5.0,4.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,13,Sphephelo SITHOLE,2.0,0.0,2.0,1.0,6.0,13.0,1.0,0.0,1.0,0.0,1.0,26.0,7.0,3.0,2.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,9,Lyle FOSTER,1.0,0.0,1.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,0.0,1.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,6,Aubrey MODIBA,5.0,0.0,1.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,3.0,26.0,13.0,0.0,3.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,4,Teboho MOKOENA,4.0,0.0,1.0,2.0,7.0,33.0,2.0,0.0,2.0,1.0,1.0,45.0,18.0,4.0,2.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,1,Ronwen WILLIAMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,1.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,15,Iqraam RAYNERS,1.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,3.0,29.0,12.0,0.0,1.0,1,A,11 June 2026,Mexico,South Africa,2,0
Mexico,19,Gilberto MORA,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
Mexico,24,Luis CHAVEZ,2.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1,A,11 June 2026,Mexico,South Africa,2,0
Mexico,5,Johan VASQUEZ,2.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,4.0,2.0,4.0,12.0,3.0,3.0,3.0,1,A,11 June 2026,Mexico,South Africa,2,0
Mexico,6,Erik LIRA,2.0,1.0,1.0,0.0,3.0,9.0,1.0,0.0,1.0,1.0,3.0,30.0,7.0,1.0,1.0,1,A,11 June 2026,Mexico,South Africa,2,0
