team,jersey,player,passes_att,passes_comp,pass_pct,switches,crosses_att,crosses_comp,lb_att,lb_comp,lb_pct,ball_prog,take_ons,step_ins,att_goal,goals,match_num,group,date,home,away,home_score,away_score
Mexico,1,Raul RANGEL,33.0,29.0,88.0,1.0,0.0,0.0,13.0,10.0,77.0,0.0,0.0,0.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,17,Evidence MAKGOPA,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,11,Themba ZWANE,7.0,5.0,71.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,7,Oswin APPOLLIS,6.0,5.0,83.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,5,Thalente MBATHA,6.0,4.0,67.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,1.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,23,Jayden ADAMS,21.0,17.0,81.0,1.0,0.0,0.0,8.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,21,Ime OKON,51.0,46.0,90.0,0.0,0.0,0.0,7.0,6.0,86.0,2.0,0.0,2.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,20,Khuliso MUDAU,33.0,29.0,88.0,0.0,1.0,0.0,7.0,4.0,57.0,2.0,2.0,0.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,19,Nkosinathi SIBISI,52.0,42.0,81.0,3.0,0.0,0.0,21.0,14.0,67.0,0.0,0.0,0.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,14,Mbekezeli MBOKAZI,33.0,25.0,76.0,0.0,2.0,0.0,8.0,3.0,38.0,0.0,0.0,0.0,1.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,13,Sphephelo SITHOLE,18.0,17.0,94.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,9,Lyle FOSTER,5.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,6,Aubrey MODIBA,17.0,13.0,76.0,0.0,2.0,0.0,4.0,1.0,25.0,2.0,2.0,0.0,1.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
South Africa,4,Teboho MOKOENA,43.0,41.0,95.0,1.0,2.0,0.0,13.0,11.0,85.0,0.0,0.0,0.0,0.0,0.0,1,A,11 June 2026,Mexico,South Africa,2,0
