match_num,group,date,stadium,home,away,home_score,away_score,xg_home,xg_away,goals_home,goals_away,att_home,att_away,att_ot_home,att_ot_away,passes_att_home,passes_att_away,passes_comp_home,passes_comp_away,pass_pct_home,pass_pct_away,lb_home,lb_away,def_lb_home,def_lb_away,final_third_home,final_third_away,crosses_home,crosses_away,ball_prog_home,ball_prog_away,pressures_home,pressures_away,direct_press_home,direct_press_away,forced_to_home,forced_to_away,second_balls_home,second_balls_away,distance_home,distance_away
1,A,11 June 2026,Mexico City Stadium,Mexico,South Africa,2,0,1.78,0.1,2,0,16,3,4,2,547,351,495,290,90,83,105,57,10,3,117,36,13,8,23,8,170,306,26,45,31,32,56,45,107.3,97.1
2,A,11 June 2026,Guadalajara Stadium,Korea Republic,Czechia,2,1,1.77,0.64,2,1,15,7,6,4,542,327,483,241,89,74,92,54,10,5,125,77,17,15,27,10,147,301,22,54,30,40,49,78,111.8,117.6
3,B,12 June 2026,Toronto Stadium,Canada,Bosnia and Herzegovina,1,1,1.49,0.76,1,1,13,8,4,3,412,279,316,186,77,67,84,61,16,4,143,51,30,8,30,22,160,203,38,35,50,51,94,79,111.3,109.5
4,D,12 June 2026,Los Angeles Stadium,USA,Paraguay,4,1,1.88,0.6,4,1,16,9,6,1,602,316,520,234,86,74,129,53,25,3,201,31,23,5,52,17,204,360,39,75,50,49,101,55,119.9,114.3
5,C,13 June 2026,Boston Stadium,Haiti,Scotland,0,1,0.7,0.91,0,1,15,9,2,2,431,397,378,324,88,82,84,86,4,6,116,77,26,16,24,21,185,230,35,39,29,35,53,52,113.7,117.6
6,D,13 June 2026,,Australia,Türkiye,2,0,0.99,1.66,2,0,9,30,4,7,293,722,224,663,76,92,56,132,10,15,68,348,14,28,22,38,384,170,57,31,35,30,62,87,116.6,112.5
7,C,13 June 2026,New York/New Jersey Stadium,Brazil,Morocco,1,1,0.99,1.33,1,1,12,14,5,3,514,503,457,431,89,86,89,81,11,5,100,149,19,14,30,49,315,285,54,41,41,50,56,79,113.7,114.9
8,B,13 June 2026,San Francisco Bay Area Stadium,Qatar,Switzerland,1,1,0.52,3.14,1,1,6,26,3,7,289,591,213,542,74,92,58,122,2,17,41,245,8,34,13,31,294,165,42,33,36,42,53,70,109.2,109.4
9,E,14 June 2026,Philadelphia Stadium,Côte d'Ivoire,Ecuador,1,0,1.88,1.36,1,0,15,12,4,1,471,513,413,438,88,85,113,106,11,8,120,97,15,14,39,16,288,280,31,61,44,49,63,60,109.6,108.4
11,F,14 June 2026,Dallas Stadium,Netherlands,Japan,2,2,0.63,0.34,2,2,10,9,6,2,529,356,473,302,89,85,88,72,13,13,156,120,23,24,23,21,194,316,30,46,33,28,49,50,102.9,109.4
12,F,14 June 2026,Monterrey Stadium,Sweden,Tunisia,5,1,2.09,0.34,5,1,13,6,7,2,356,370,290,299,81,81,71,76,13,5,103,84,12,13,26,19,172,223,44,45,42,41,69,67,111.3,109.7
