IdPartido,Fecha,Equipo_local,Equipo_visitante,Local,Equipo,Dorsal,Periodo,Tipo,Resultado,Zona,Left_pct,Top_pct
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),False,HINDU (C),3,6,TIRO3,FALLADO,Z12-DE,63.76,44.62
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),True,,11,6,TIRO2,FALLADO,Z1-IZ,14.82,51.45
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),False,HINDU (C),15,6,TIRO2,FALLADO,Z1-DE,86.9,39.49
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),True,,18,6,TIRO3,FALLADO,Z11-IZ,31.47,75.9
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),False,HINDU (C),15,6,TIRO2,CONVERTIDO,Z1-DE,87.61,50.77
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),True,,13,6,TIRO3,CONVERTIDO,Z13-IZ,37.46,28.03
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),False,HINDU (C),9,6,TIRO2,FALLADO,Z1-DE,85.08,51.45
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),True,,10,6,TIRO3,CONVERTIDO,Z12-IZ,38.58,60.68
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),False,HINDU (C),9,6,TIRO2,CONVERTIDO,Z1-DE,88.53,46.84
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),True,,11,6,TIRO3,FALLADO,Z13-IZ,33.81,24.27
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),False,HINDU (C),14,6,TIRO2,CONVERTIDO,Z1-DE,87.01,49.23
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),True,,11,6,TIRO3,CONVERTIDO,Z11-IZ,35.74,65.47
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),False,HINDU (C),9,6,TIRO2,FALLADO,Z2-DE,80.81,29.57
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),True,,11,6,TIRO2,FALLADO,Z1-IZ,15.43,52.14
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),True,,13,6,TIRO2,FALLADO,Z1-IZ,15.33,50.94
v2mvvP-Q-0bGxwO5_CYZv-7pBZ4Hdn8TdL7eQX3RQUmYo4ViHaXgUKsQ==,31/10/2025,,HINDU (C),True,,18,5,TIRO2,FALLADO,Z1-IZ,14.42,50.77
