fecha,hora,local,visitante,estadio
04/05/2026,21:00,SAN ISIDRO,DEP. VIEDMA,ANTONIO MANNO
04/05/2026,21:30,BARRIO PARQUE,GIMNASIA (LP),EL TEATRO DEL PARQUE
05/05/2026,21:30,VILLA SAN MARTIN,LANÚS,VILLA SAN MARTIN
05/05/2026,21:30,SANTA PAULA (G),LA UNIÓN (C),VICTOR COMELLI
07/05/2026,21:00,DEP. VIEDMA,SAN ISIDRO,ANGEL CAYETANO ARIAS
07/05/2026,21:30,VILLA SAN MARTIN,LANÚS,VILLA SAN MARTIN
07/05/2026,21:30,SANTA PAULA (G),LA UNIÓN (C),VICTOR COMELLI
08/05/2026,20:30,GIMNASIA (LP),BARRIO PARQUE,VICTOR NETHOL
09/05/2026,21:00,DEP. VIEDMA,SAN ISIDRO,ANGEL CAYETANO ARIAS
10/05/2026,20:30,GIMNASIA (LP),BARRIO PARQUE,VICTOR NETHOL
12/05/2026,20:30,LANÚS,VILLA SAN MARTIN,ANTONIO ROTILI
12/05/2026,21:00,LA UNIÓN (C),SANTA PAULA (G),CARLOS JOSE DELASOIE
12/05/2026,21:30,SAN ISIDRO,DEP. VIEDMA,ANTONIO MANNO
13/05/2026,21:30,BARRIO PARQUE,GIMNASIA (LP),EL TEATRO DEL PARQUE
