local,visitante,fecha,hora,estadio
GORRIONES (RIO IV),BOCHAS (CC),19/03/2026,21:00,JUAN BAUTISTA GRASSI
DEP. BERAZATEGUI,LANUS,21/03/2026,20:30,COMPLEJO MUNICIPAL DUCILO
ROCAMORA,FERRO,21/03/2026,21:00,JULIO CESAR PACCAGNELLA
HINDU (C),FUSION RIOJANA,21/03/2026,21:30,CATEDRAL DEL BASQUET
INSTITUTO,FUSION RIOJANA,22/03/2026,20:00,ANGEL SANDRIN
GORRIONES (RIO IV),NÁUTICO (R),22/03/2026,20:30,JUAN BAUTISTA GRASSI
EL BIGUA (NQN),INDEPENDIENTE (NQN),22/03/2026,21:00,RUCA CHE
EL TALAR,UNION FLORIDA,22/03/2026,21:30,ROBERTO CONTINI
SAN JOSE (MENDOZA),NÁUTICO (R),23/03/2026,21:00,CLUB UNION DEPORTIVA SAN JOSE
UNION FLORIDA,DEP. BERAZATEGUI,25/03/2026,21:00,TEMPLO DEL ROCK
EL TALAR,ROCAMORA,25/03/2026,21:30,ROBERTO CONTINI
OBRAS,DEP. BERAZATEGUI,27/03/2026,20:30,TEMPLO DEL ROCK
UNION FLORIDA,EL BIGUA (NQN),28/03/2026,21:00,TEMPLO DEL ROCK
OBRAS,ROCAMORA,29/03/2026,20:30,TEMPLO DEL ROCK
DEP. BERAZATEGUI,EL BIGUA (NQN),29/03/2026,21:00,COMPLEJO MUNICIPAL DUCILO
FERRO,UNION FLORIDA,30/03/2026,20:30,HECTOR ETCHART
