IdPartido,Fecha,Equipo_local,Equipo_visitante,Local,Equipo,Dorsal,Periodo,Tipo,Resultado,Zona,Left_pct,Top_pct
GWjR3i1ieX3yXLpWmsUVuw==,04/10/2025,SAN JOSE (MENDOZA),GORRIONES (RIO IV),False,GORRIONES (RIO IV),14,4,TIRO3,FALLADO,Z13-DE,71.68,84.62
GWjR3i1ieX3yXLpWmsUVuw==,04/10/2025,SAN JOSE (MENDOZA),GORRIONES (RIO IV),False,GORRIONES (RIO IV),10,4,TIRO3,FALLADO,Z12-DE,64.26,51.28
GWjR3i1ieX3yXLpWmsUVuw==,04/10/2025,SAN JOSE (MENDOZA),GORRIONES (RIO IV),True,SAN JOSE (MENDOZA),2,4,TIRO3,CONVERTIDO,Z12-IZ,37.87,64.62
GWjR3i1ieX3yXLpWmsUVuw==,04/10/2025,SAN JOSE (MENDOZA),GORRIONES (RIO IV),True,SAN JOSE (MENDOZA),30,4,TIRO3,FALLADO,Z13-IZ,36.35,31.79
GWjR3i1ieX3yXLpWmsUVuw==,04/10/2025,SAN JOSE (MENDOZA),GORRIONES (RIO IV),False,GORRIONES (RIO IV),13,4,TIRO2,CONVERTIDO,Z1-DE,87.82,44.1
GWjR3i1ieX3yXLpWmsUVuw==,04/10/2025,SAN JOSE (MENDOZA),GORRIONES (RIO IV),True,SAN JOSE (MENDOZA),2,4,TIRO3,FALLADO,Z11-IZ,33.71,73.16
GWjR3i1ieX3yXLpWmsUVuw==,04/10/2025,SAN JOSE (MENDOZA),GORRIONES (RIO IV),True,SAN JOSE (MENDOZA),2,4,TIRO3,FALLADO,Z11-IZ,25.38,84.27
GWjR3i1ieX3yXLpWmsUVuw==,04/10/2025,SAN JOSE (MENDOZA),GORRIONES (RIO IV),False,GORRIONES (RIO IV),10,4,TIRO3,FALLADO,Z12-DE,64.47,54.7
GWjR3i1ieX3yXLpWmsUVuw==,04/10/2025,SAN JOSE (MENDOZA),GORRIONES (RIO IV),True,SAN JOSE (MENDOZA),22,4,TIRO3,FALLADO,Z11-IZ,18.07,89.74
GWjR3i1ieX3yXLpWmsUVuw==,04/10/2025,SAN JOSE (MENDOZA),GORRIONES (RIO IV),False,GORRIONES (RIO IV),15,4,TIRO3,FALLADO,Z12-DE,62.44,43.93
