fecha,local,visitante,prob_local,prob_visit
24/04/2026,FERRO,PEÑAROL (MDP),0.59,0.41
24/04/2026,LA UNION FSA.,INDEPENDIENTE (O),0.615,0.385
25/04/2026,BOCA,SAN MARTÍN (C),0.623,0.377
25/04/2026,OBRAS,INSTITUTO,0.564,0.436
26/04/2026,FERRO,PEÑAROL (MDP),0.59,0.41
26/04/2026,LA UNION FSA.,INDEPENDIENTE (O),0.615,0.385
27/04/2026,OBRAS,INSTITUTO,0.564,0.436
27/04/2026,BOCA,SAN MARTÍN (C),0.623,0.377
30/04/2026,INSTITUTO,OBRAS,0.557,0.443
30/04/2026,PEÑAROL (MDP),FERRO,0.581,0.419
30/04/2026,INDEPENDIENTE (O),LA UNION FSA.,0.543,0.457
30/04/2026,SAN MARTÍN (C),BOCA,0.505,0.495
