gameId,gameName,date,teamA_code,teamB_code,period,timeRemaining,scoreA,scoreB,orgId,teamCode,personId,firstName,lastName,uniformNumber,actionCode,actionText,made,pts,shotType,x,y
130879,30373-A-1,,USA,ARG,Q1,9:50,3,0,154,USA,410523,Colben,Landrew,7,P3,3pt jump shot from center made,1,3,3PT,183,173
130879,30373-A-1,,USA,ARG,Q1,9:29,3,0,14,ARG,398746,Roman,Moravansky,11,P3,3pt jump shot missed,0,3,3PT,28,111
130879,30373-A-1,,USA,ARG,Q1,9:16,3,0,154,USA,416446,Adan,Diggs,10,P2,"2PtsFG inside right, jump shot missed",0,2,2PT,199,120
130879,30373-A-1,,USA,ARG,Q1,8:53,3,1,14,ARG,408871,Manuel,Hernandez,4,FT,1st of 3 free throws made,1,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q1,8:53,3,1,14,ARG,408871,Manuel,Hernandez,4,FT,2nd of 3 free throws missed,0,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q1,8:53,3,1,14,ARG,408871,Manuel,Hernandez,4,FT,3rd of 3 free throws missed,0,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q1,8:15,3,3,14,ARG,362126,Benjamin,Pettovello,32,P2,2pt fadeaway jump shot made,1,2,2PT,197,20
130879,30373-A-1,,USA,ARG,Q1,7:46,6,3,154,USA,341544,Caleb,Gaskins,12,P3,3pt jump shot made,1,3,3PT,5,31
130879,30373-A-1,,USA,ARG,Q1,7:32,6,5,14,ARG,409151,Santiago,Pettinaroli,14,P2,"2PtsFG under the basket, layup made",1,2,2PT,125,42
130879,30373-A-1,,USA,ARG,Q1,7:19,8,5,154,USA,416446,Adan,Diggs,10,P2,"2PtsFG under the basket, driving layup made",1,2,2PT,127,27
130879,30373-A-1,,USA,ARG,Q1,7:02,10,5,154,USA,369232,Taylen,Kinney,4,P2,"2PtsFG under the basket, points from fastbreak + after turnover, driving layup made",1,2,2PT,161,36
130879,30373-A-1,,USA,ARG,Q1,7:02,10,5,154,USA,369232,Taylen,Kinney,4,FT,Free throw missed 1 of 1,0,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q1,6:44,10,5,14,ARG,409151,Santiago,Pettinaroli,14,P2,"2PtsFG under the basket, hook shot missed",0,2,2PT,128,38
130879,30373-A-1,,USA,ARG,Q1,6:33,10,7,14,ARG,409151,Santiago,Pettinaroli,14,P2,"2PtsFG under the basket, points from fastbreak + after turnover, dunk made",1,2,2PT,139,24
130879,30373-A-1,,USA,ARG,Q1,6:19,10,7,154,USA,416558,Quentin,Coleman,11,P3,3pt jump shot missed,0,3,3PT,48,131
130879,30373-A-1,,USA,ARG,Q1,5:59,10,7,14,ARG,409021,Elias,Torrens,7,P2,2pt pullup jump shot missed,0,2,2PT,114,41
130879,30373-A-1,,USA,ARG,Q1,5:52,10,7,154,USA,341544,Caleb,Gaskins,12,P2,"2PtsFG under the basket, driving layup missed",0,2,2PT,156,34
130879,30373-A-1,,USA,ARG,Q1,5:47,12,7,154,USA,416558,Quentin,Coleman,11,P2,2PtsFG under the basket made,1,2,2PT,140,31
130879,30373-A-1,,USA,ARG,Q1,5:02,12,7,14,ARG,408860,Mateo,Fessia,12,P2,"2PtsFG under the basket, points after turnover, driving layup missed",0,2,2PT,127,35
130879,30373-A-1,,USA,ARG,Q1,5:01,12,7,14,ARG,409021,Elias,Torrens,7,FT,1st of 2 free throws missed,0,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q1,5:01,12,8,14,ARG,409021,Elias,Torrens,7,FT,2nd of 2 free throws made,1,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q1,4:47,12,8,154,USA,410509,Bruce,Branch III,8,P2,"2PtsFG inside right wing, jump shot missed",0,2,2PT,240,39
130879,30373-A-1,,USA,ARG,Q1,4:42,14,8,154,USA,416558,Quentin,Coleman,11,P2,"2PtsFG under the basket, driving layup made",1,2,2PT,150,40
130879,30373-A-1,,USA,ARG,Q1,4:13,14,8,14,ARG,409021,Elias,Torrens,7,P2,"2PtsFG under the basket, layup missed",0,2,2PT,128,30
130879,30373-A-1,,USA,ARG,Q1,4:01,14,8,154,USA,416558,Quentin,Coleman,11,P2,"2PtsFG under the basket, driving layup missed",0,2,2PT,127,30
130879,30373-A-1,,USA,ARG,Q1,3:57,14,8,154,USA,416453,Malachi,Jordan,5,P2,2PtsFG under the basket missed,0,2,2PT,140,31
130879,30373-A-1,,USA,ARG,Q1,3:53,14,8,154,USA,410530,Darius,Wabbington,13,P2,"2PtsFG under the basket, pullup jump shot missed",0,2,2PT,132,44
130879,30373-A-1,,USA,ARG,Q1,3:50,14,8,154,USA,410509,Bruce,Branch III,8,FT,1st of 2 free throws missed,0,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q1,3:50,14,8,154,USA,410509,Bruce,Branch III,8,FT,2nd of 2 free throws missed,0,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q1,3:49,16,8,154,USA,410509,Bruce,Branch III,8,P2,"2PtsFG under the basket, layup made",1,2,2PT,154,45
