fecha,hora,local,visitante,estadio
13/03/2026,20:30,RACING (A),PERGAMINO BASQUET,CENTRO DEPORTIVO RACING CLUB
13/03/2026,21:00,PROVINCIAL (R),EL TALAR,SALVADOR BONILLA
13/03/2026,21:30,UNION (MDP),LA UNIÓN (C),ISLAS MALVINAS
13/03/2026,21:30,JUJUY BASQUET,SAN ISIDRO,FEDERACION DE BASQUETBOL DE JUJUY
14/03/2026,21:00,BOCHAS (CC),COLON (SF),JOSE 'PEPE' NOU
14/03/2026,21:30,FUSION RIOJANA,VILLA SAN MARTIN,LA CALDERA VERDE
15/03/2026,21:00,PICO F.C.,GIMNASIA (LP),PARQUE ANGEL LARREA
15/03/2026,21:00,BARRIO PARQUE,COLON (SF),EL TEATRO DEL PARQUE
15/03/2026,21:30,SALTA BASKET,SAN ISIDRO,DELMI
15/03/2026,21:30,DEP. NORTE,ROCAMORA,JORGE FERRERO
16/03/2026,21:00,VILLA MITRE (BB),DEP. VIEDMA,JOSE MARTINEZ
16/03/2026,21:30,HURACAN (LH),SP. SUARDI,DR. VICENTE POLIMENI
16/03/2026,21:30,SANTA PAULA (G),AMANCAY (LR),VICTOR COMELLI
16/03/2026,22:00,INDEPENDIENTE (SDE),VILLA SAN MARTIN,ISRAEL PARNAS
17/03/2026,21:00,PROVINCIAL (R),DEP. NORTE,SALVADOR BONILLA
17/03/2026,21:00,CICLISTA (J),GIMNASIA (LP),EL COLISEO DEL BOULEVARD
17/03/2026,21:30,CENTENARIO (VT),ROCAMORA,MATEO MIGLIORE
17/03/2026,21:30,COMUNICACIONES,ESTUDIANTES (T),EL PLATEADO
18/03/2026,21:00,SAN ISIDRO,AMANCAY (LR),ANTONIO MANNO
18/03/2026,21:00,BARRIO PARQUE,SALTA BASKET,JORGE FERRERO
18/03/2026,21:30,RIVADAVIA (MZA),SP. SUARDI,LEOPOLDO BROZOVIX
18/03/2026,21:30,EL TALAR,PICO F.C.,ROBERTO CONTINI
19/03/2026,21:00,VILLA SAN MARTIN,ESTUDIANTES (T),VILLA SAN MARTIN
19/03/2026,21:30,HINDU (C),SALTA BASKET,CATEDRAL DEL BASQUET
19/03/2026,21:30,COMUNICACIONES,HURACAN (LH),EL PLATEADO
19/03/2026,22:00,VILLA MITRE (BB),CENTRAL ENTRERRIANO,JOSE MARTINEZ
20/03/2026,21:00,DEP. NORTE,RACING (A),JORGE FERRERO
20/03/2026,21:00,SANTA PAULA (G),FUSION RIOJANA,VICTOR COMELLI
21/03/2026,20:30,QUILMES (MDP),UNION (MDP),JOSE MARTINEZ
21/03/2026,21:00,VILLA MITRE (BB),CENTENARIO (VT),JOSE MARTINEZ
21/03/2026,21:00,COLON (SF),HURACAN (LH),ROQUE OTRINO
21/03/2026,21:30,EL TALAR,ROCAMORA,ROBERTO CONTINI
21/03/2026,21:30,PERGAMINO BASQUET,PROVINCIAL (R),RICARDO DORADO MERLO
21/03/2026,21:30,DEP. VIEDMA,CENTRAL ENTRERRIANO,ANGEL CAYETANO ARIAS
21/03/2026,21:30,BOCHAS (CC),SALTA BASKET,JORGE FERRERO
22/03/2026,20:30,GIMNASIA (LP),ROCAMORA,VICTOR NETHOL
22/03/2026,20:30,VILLA SAN MARTIN,COMUNICACIONES,VILLA SAN MARTIN
22/03/2026,21:00,SAN ISIDRO,FUSION RIOJANA,ANTONIO MANNO
22/03/2026,21:00,ESTUDIANTES (T),INDEPENDIENTE (SDE),COCO ASCARATE
23/03/2026,21:00,DEP. VIEDMA,CENTENARIO (VT),ANGEL CAYETANO ARIAS
23/03/2026,21:00,LA UNIÓN (C),CICLISTA (J),CARLOS JOSE DELASOIE
23/03/2026,21:00,PICO F.C.,CENTRAL ENTRERRIANO,JORGE FERRERO
23/03/2026,21:30,SANTA PAULA (G),HURACAN (LH),VICTOR COMELLI
23/03/2026,21:30,AMANCAY (LR),HINDU (C),CLUB ATLETICO RIOJANO
23/03/2026,21:30,BOCHAS (CC),BARRIO PARQUE,JOSE 'PEPE' NOU
25/03/2026,21:00,ROCAMORA,CICLISTA (J),JULIO CESAR PACCAGNELLA
25/03/2026,21:00,VILLA SAN MARTIN,JUJUY BASQUET,VILLA SAN MARTIN
25/03/2026,21:30,DEP. NORTE,PERGAMINO BASQUET,JORGE FERRERO
25/03/2026,21:30,FUSION RIOJANA,HINDU (C),LA CALDERA VERDE
26/03/2026,21:00,SAN ISIDRO,COLON (SF),ANTONIO MANNO
26/03/2026,21:00,PICO F.C.,LA UNIÓN (C),PARQUE ANGEL LARREA
26/03/2026,21:00,GIMNASIA (LP),QUILMES (MDP),VICTOR NETHOL
26/03/2026,21:30,HURACAN (LH),ESTUDIANTES (T),DR. VICENTE POLIMENI
27/03/2026,21:00,CENTRAL ENTRERRIANO,CICLISTA (J),JOSE MARIA BERTORA
27/03/2026,21:00,RACING (A),PROVINCIAL (R),CENTRO DEPORTIVO RACING CLUB
27/03/2026,21:30,CENTENARIO (VT),LA UNIÓN (C),MATEO MIGLIORE
27/03/2026,21:30,COMUNICACIONES,JUJUY BASQUET,EL PLATEADO
28/03/2026,21:30,EL TALAR,QUILMES (MDP),ROBERTO CONTINI
