fecha,hora,local,visitante,estadio
13/03/2026,22:10,OLÍMPICO (LB),OBERÁ,VICENTE ROSALES
14/03/2026,11:30,ATENAS (C),REGATAS (C),ESTRUCTURAS PRETENSA ATENAS
14/03/2026,21:00,PEÑAROL (MDP),SAN LORENZO,ISLAS MALVINAS
14/03/2026,22:00,PLATENSE,UNION (SF),CIUDAD DE VICENTE LOPEZ
15/03/2026,21:00,LA UNION FSA.,FERRO,CINCUENTENARIO
16/03/2026,17:00,INSTITUTO,REGATAS (C),ANGEL SANDRIN
16/03/2026,21:00,RACING (CH),UNION (SF),GRILON ARENA
17/03/2026,21:00,OBERÁ,FERRO,DR. LUIS AUGUSTO DERNA
17/03/2026,21:05,BOCA,PEÑAROL (MDP),LUIS CONDE
17/03/2026,21:30,QUIMSA,OBRAS,CIUDAD
18/03/2026,20:30,SAN LORENZO,PLATENSE,ROBERTO PANDO
18/03/2026,21:00,ARGENTINO (J),UNION (SF),EL FORTIN DE LAS MOROCHAS
18/03/2026,21:00,GIMNASIA (CR),ATENAS (C),SOCIOS FUNDADORES
18/03/2026,22:10,LA UNION FSA.,INDEPENDIENTE (O),CINCUENTENARIO
19/03/2026,22:00,OLÍMPICO (LB),OBRAS,VICENTE ROSALES
20/03/2026,20:30,BOCA,ATENAS (C),LUIS CONDE
20/03/2026,21:00,OBERÁ,INDEPENDIENTE (O),DR. LUIS AUGUSTO DERNA
21/03/2026,11:30,SAN MARTÍN (C),FERRO,RAUL ARGENTO ORTIZ
21/03/2026,21:00,ARGENTINO (J),QUIMSA,EL FORTIN DE LAS MOROCHAS
22/03/2026,20:30,OBRAS,ATENAS (C),TEMPLO DEL ROCK
22/03/2026,21:00,GIMNASIA (CR),PLATENSE,SOCIOS FUNDADORES
23/03/2026,21:00,UNION (SF),OLÍMPICO (LB),ANGEL P. MALVICINO
23/03/2026,21:00,RACING (CH),QUIMSA,GRILON ARENA
23/03/2026,21:30,INSTITUTO,INDEPENDIENTE (O),ANGEL SANDRIN
23/03/2026,21:30,REGATAS (C),FERRO,RAUL ARGENTO ORTIZ
25/03/2026,20:30,SAN LORENZO,OLÍMPICO (LB),ROBERTO PANDO
25/03/2026,21:00,OBERÁ,BOCA,DR. LUIS AUGUSTO DERNA
25/03/2026,21:05,OBRAS,ARGENTINO (J),TEMPLO DEL ROCK
26/03/2026,21:00,RACING (CH),SAN MARTÍN (C),GRILON ARENA
26/03/2026,22:10,UNION (SF),REGATAS (C),ANGEL P. MALVICINO
27/03/2026,21:00,INDEPENDIENTE (O),PEÑAROL (MDP),EL GIGANTE DE LA RUTA 9
27/03/2026,21:00,ATENAS (C),INSTITUTO,ESTRUCTURAS PRETENSA ATENAS
27/03/2026,21:30,LA UNION FSA.,BOCA,CINCUENTENARIO
28/03/2026,11:30,OBERÁ,GIMNASIA (CR),DR. LUIS AUGUSTO DERNA
28/03/2026,21:00,ARGENTINO (J),SAN MARTÍN (C),EL FORTIN DE LAS MOROCHAS
28/03/2026,21:30,OLÍMPICO (LB),QUIMSA,VICENTE ROSALES
28/03/2026,21:30,UNION (SF),OBRAS,ANGEL P. MALVICINO
