IdPartido,Fecha,Equipo_local,Equipo_visitante,Local,Equipo,Dorsal,Periodo,Tipo,Resultado,Zona,Left_pct,Top_pct
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),5,4,TIRO2,CONVERTIDO,Z1-DE,87.85,42.23
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),9,4,TIRO2,FALLADO,Z1-DE,88.77,42.49
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,19,4,TIRO2,CONVERTIDO,Z1-IZ,12.15,56.99
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),5,4,TIRO3,FALLADO,Z12-DE,64.62,36.01
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,19,4,TIRO3,CONVERTIDO,Z11-IZ,30.15,82.64
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),2,4,TIRO3,FALLADO,Z13-DE,74.46,86.79
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),14,4,TIRO2,CONVERTIDO,Z1-DE,88.31,48.96
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),14,4,TIRO2,FALLADO,Z1-DE,87.23,55.44
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),2,4,TIRO2,FALLADO,Z1-DE,86.77,56.48
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,6,4,TIRO3,FALLADO,Z13-IZ,29.54,17.1
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),8,4,TIRO2,FALLADO,Z4-DE,87.85,72.8
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),6,4,TIRO2,FALLADO,Z1-DE,86.77,44.56
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),2,4,TIRO2,FALLADO,Z1-DE,86.0,38.86
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,17,4,TIRO3,FALLADO,Z11-IZ,20.0,88.08
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),8,4,TIRO2,FALLADO,Z1-DE,83.23,47.41
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,17,4,TIRO2,FALLADO,Z1-IZ,16.15,52.85
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),2,4,TIRO2,FALLADO,Z2-DE,87.23,33.68
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,3,4,TIRO2,FALLADO,Z9-IZ,9.69,19.69
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,3,4,TIRO3,FALLADO,FRANJA-SUPERIOR,8.62,5.96
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),9,4,TIRO2,FALLADO,Z1-DE,88.0,53.89
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),9,4,TIRO2,FALLADO,Z1-DE,88.15,53.63
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),14,4,TIRO3,FALLADO,Z13-DE,66.62,73.06
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,99,4,TIRO2,CONVERTIDO,Z1-IZ,14.15,56.22
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),2,4,TIRO3,FALLADO,Z12-DE,63.69,44.56
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),9,4,TIRO3,FALLADO,Z11-DE,70.31,16.06
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,3,4,TIRO2,CONVERTIDO,Z1-IZ,14.62,44.3
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),11,4,TIRO3,FALLADO,Z13-DE,69.08,79.02
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,17,4,TIRO2,FALLADO,Z1-IZ,16.0,56.99
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),2,4,TIRO3,CONVERTIDO,Z13-DE,68.62,84.46
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,99,4,TIRO3,FALLADO,Z14-IZ,15.38,8.29
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),11,4,TIRO2,FALLADO,Z3-DE,77.38,54.92
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),14,4,TIRO3,CONVERTIDO,Z10-DE,94.31,8.55
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,44,4,TIRO2,FALLADO,Z1-IZ,14.0,43.78
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,44,3,TIRO2,FALLADO,Z6-IZ,24.92,66.84
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),14,3,TIRO2,CONVERTIDO,Z1-DE,87.85,55.18
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),2,3,TIRO2,FALLADO,Z3-DE,75.38,46.89
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,99,3,TIRO3,FALLADO,Z13-IZ,34.0,25.91
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),14,3,TIRO3,CONVERTIDO,Z11-DE,71.54,13.21
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,99,3,TIRO3,CONVERTIDO,Z11-IZ,28.15,84.2
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),2,3,TIRO3,FALLADO,Z12-DE,64.92,47.15
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),8,3,TIRO2,CONVERTIDO,Z9-DE,88.31,77.72
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,19,3,TIRO2,CONVERTIDO,Z1-IZ,13.23,55.96
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),2,3,TIRO2,CONVERTIDO,Z1-DE,83.38,52.33
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,99,3,TIRO3,FALLADO,Z12-IZ,42.15,46.63
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),8,3,TIRO3,CONVERTIDO,Z11-DE,74.15,13.21
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),13,3,TIRO3,FALLADO,Z11-DE,75.69,13.21
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,22,3,TIRO2,FALLADO,Z1-IZ,11.38,41.97
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,6,3,TIRO2,FALLADO,Z1-IZ,12.62,41.45
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),6,3,TIRO2,CONVERTIDO,Z1-DE,89.38,54.66
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,44,3,TIRO3,FALLADO,Z13-IZ,25.08,13.21
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),2,3,TIRO2,FALLADO,Z1-DE,86.92,38.34
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,6,3,TIRO3,FALLADO,Z13-IZ,22.0,12.44
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),False,RACING (CH),22,3,TIRO2,CONVERTIDO,Z1-DE,89.23,56.22
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,19,3,TIRO3,FALLADO,Z11-IZ,27.08,83.68
EAf9naW3tlhGQ0ylwn2N7Q==,24/09/2025,BOCA,RACING (CH),True,BOCA,19,3,TIRO2,FALLADO,Z1-IZ,13.69,55.44
