fecha,local,visitante,prob_local,prob_visit
10/04/2026,RACING (CH),OBERÁ,0.557,0.443
10/04/2026,INDEPENDIENTE (O),ATENAS (C),0.559,0.441
10/04/2026,REGATAS (C),OLÍMPICO (LB),0.674,0.326
11/04/2026,BOCA,FERRO,0.597,0.403
11/04/2026,GIMNASIA (CR),INSTITUTO,0.648,0.352
12/04/2026,RACING (CH),SAN LORENZO,0.557,0.443
12/04/2026,ARGENTINO (J),OBERÁ,0.477,0.523
12/04/2026,SAN MARTÍN (C),OLÍMPICO (LB),0.603,0.397
13/04/2026,OBRAS,INSTITUTO,0.56,0.44
13/04/2026,BOCA,INDEPENDIENTE (O),0.597,0.403
14/04/2026,ARGENTINO (J),SAN LORENZO,0.477,0.523
14/04/2026,ATENAS (C),QUIMSA,0.513,0.487
14/04/2026,LA UNION FSA.,PEÑAROL (MDP),0.603,0.397
15/04/2026,PLATENSE,REGATAS (C),0.575,0.425
15/04/2026,OBRAS,INDEPENDIENTE (O),0.56,0.44
15/04/2026,UNION (SF),FERRO,0.513,0.487
16/04/2026,INSTITUTO,QUIMSA,0.594,0.406
16/04/2026,OBERÁ,PEÑAROL (MDP),0.564,0.436
17/04/2026,PLATENSE,SAN MARTÍN (C),0.575,0.425
17/04/2026,RACING (CH),REGATAS (C),0.557,0.443
17/04/2026,GIMNASIA (CR),ARGENTINO (J),0.648,0.352
17/04/2026,LA UNION FSA.,ATENAS (C),0.603,0.397
18/04/2026,OBRAS,SAN LORENZO,0.56,0.44
18/04/2026,INDEPENDIENTE (O),QUIMSA,0.559,0.441
19/04/2026,UNION (SF),SAN MARTÍN (C),0.513,0.487
19/04/2026,ARGENTINO (J),REGATAS (C),0.477,0.523
19/04/2026,PEÑAROL (MDP),FERRO,0.575,0.425
19/04/2026,OBERÁ,ATENAS (C),0.564,0.436
21/04/2026,BOCA,OBRAS,0.597,0.403
