local,visitante,fecha,hora,estadio
LA UNION FSA.,FERRO,15/03/2026,17:00,CINCUENTENARIO
INSTITUTO,REGATAS (C),16/03/2026,13:00,ANGEL SANDRIN
RACING (CH),UNION (SF),16/03/2026,17:00,GRILON ARENA
BOCA,PEÑAROL (MDP),16/03/2026,22:00,LUIS CONDE
OBERA,FERRO,17/03/2026,17:00,DR. LUIS AUGUSTO DERNA
QUIMSA,OBRAS,17/03/2026,17:30,CIUDAD
LA UNION FSA.,INDEPENDIENTE (O),17/03/2026,21:30,CINCUENTENARIO
SAN LORENZO,PLATENSE,18/03/2026,16:30,ROBERTO PANDO
ARGENTINO (J),UNION (SF),18/03/2026,17:00,EL FORTIN DE LAS MOROCHAS
GIMNASIA (CR),ATENAS (C),18/03/2026,17:00,SOCIOS FUNDADORES
OLIMPICO (LB),OBRAS,19/03/2026,18:30,VICENTE ROSALES
BOCA,ATENAS (C),20/03/2026,16:00,LUIS CONDE
OBERA,INDEPENDIENTE (O),20/03/2026,17:00,DR. LUIS AUGUSTO DERNA
SAN MARTÍN (C),FERRO,20/03/2026,21:30,RAUL ARGENTO ORTIZ
ARGENTINO (J),QUIMSA,21/03/2026,17:00,EL FORTIN DE LAS MOROCHAS
OBRAS,ATENAS (C),22/03/2026,16:30,TEMPLO DEL ROCK
GIMNASIA (CR),PLATENSE,22/03/2026,17:00,SOCIOS FUNDADORES
RACING (CH),QUIMSA,23/03/2026,17:00,GRILON ARENA
UNION (SF),OLIMPICO (LB),23/03/2026,17:00,ANGEL P. MALVICINO
REGATAS (C),FERRO,23/03/2026,17:30,RAUL ARGENTO ORTIZ
INSTITUTO,INDEPENDIENTE (O),23/03/2026,17:30,ANGEL SANDRIN
ATENAS (C),INSTITUTO,24/03/2026,17:00,ESTRUCTURAS PRETENSA ATENAS
OBRAS,ARGENTINO (J),24/03/2026,21:00,TEMPLO DEL ROCK
SAN LORENZO,OLIMPICO (LB),25/03/2026,16:30,ROBERTO PANDO
OBERA,BOCA,25/03/2026,17:00,DR. LUIS AUGUSTO DERNA
UNION (SF),REGATAS (C),25/03/2026,21:00,ANGEL P. MALVICINO
RACING (CH),SAN MARTÍN (C),26/03/2026,17:00,GRILON ARENA
INDEPENDIENTE (O),PEÑAROL (MDP),27/03/2026,17:00,EL GIGANTE DE LA RUTA 9
LA UNION FSA.,BOCA,27/03/2026,17:30,CINCUENTENARIO
OBERA,GIMNASIA (CR),27/03/2026,21:00,DR. LUIS AUGUSTO DERNA
ARGENTINO (J),SAN MARTÍN (C),28/03/2026,17:00,EL FORTIN DE LAS MOROCHAS
UNION (SF),OBRAS,28/03/2026,17:30,ANGEL P. MALVICINO
OLIMPICO (LB),QUIMSA,28/03/2026,18:00,VICENTE ROSALES
INSTITUTO,PEÑAROL (MDP),29/03/2026,16:30,ANGEL SANDRIN
SAN LORENZO,GIMNASIA (CR),30/03/2026,16:30,ROBERTO PANDO
