liga,nombre_completo,nombre_abreviado,fecha_nacimiento,url_perfil
Liga Nacional,ALBANO NAHUEL COSTA,"COSTA, A.",28/04/2006,https://www.laliganacional.com.ar/laliga/jugador/2305/89125/328770/costa-albano-nahuel
Liga Nacional,AGUSTIN PEREZ,"PEREZ, A.",19/03/1999,https://www.laliganacional.com.ar/laliga/jugador/2376/89254/377826/perez-agustin
Liga Nacional,AGUSTIN CAFFARO,"CAFFARO, A.",06/02/1995,https://www.laliganacional.com.ar/laliga/jugador/2025/89515/379139/caffaro-agustin
Liga Nacional,AGUSTIN PAUTASSO,"PAUTASSO, A.",06/11/1997,https://www.laliganacional.com.ar/laliga/jugador/2025/89515/148490/pautasso-agustin
Liga Nacional,AGUSTIN BARREIRO,"BARREIRO, A.",02/02/1999,https://www.laliganacional.com.ar/laliga/jugador/19/88922/23963/barreiro-agustin
Liga Nacional,AGUSTIN ANDRES BROCAL,"BROCAL, A.",09/10/1997,https://www.laliganacional.com.ar/laliga/jugador/2305/89125/150723/brocal-agustin-andres
Liga Nacional,AGUSTIN PEDRO FACELLO,"FACELLO, A.",18/08/1999,https://www.laliganacional.com.ar/laliga/jugador/1882/89207/326646/facello-agustin-pedro
Liga Nacional,AGUSTÌN IVAN FERRARI,"FERRARI, A.",04/09/2005,https://www.laliganacional.com.ar/laliga/jugador/1913/89177/144788/ferrari-agustin-ivan
Liga Nacional,ALEJANDRO GABRIEL DIEZ,"DIEZ, A.",21/02/1987,https://www.laliganacional.com.ar/laliga/jugador/46/88969/325771/diez-alejandro-gabriel
Liga Nacional,ALEJO AZPILICUETA PASQUALINI,"AZPILICUETA, A.",25/04/2002,https://www.laliganacional.com.ar/laliga/jugador/2305/89125/189265/azpilicueta-pasqualini-alejo
Liga Nacional,ALEJO BARRALES,"BARRALES, A.",18/02/1991,https://www.laliganacional.com.ar/laliga/jugador/1992/89551/81202/barrales-alejo
Liga Nacional,ALEJO SANCHEZ,"SANCHEZ, A.",05/10/2005,https://www.laliganacional.com.ar/laliga/jugador/88/89192/347460/sanchez-alejo
Liga Nacional,ALVARO PEÑA MUÑOZ,"PEÑA, A.",16/12/1995,https://www.laliganacional.com.ar/laliga/jugador/80/89148/385882/pena-munoz-alvaro
Liga Nacional,ANDRES ALEXIS ELSENER,"ELSENER, A.",23/02/1988,https://www.laliganacional.com.ar/laliga/jugador/1541/89128/209577/elsener-andres-alexis
Liga Nacional,ANDRES JOAQUIN JAIME,"JAIME, A.",13/03/2000,https://www.laliganacional.com.ar/laliga/jugador/1424/89517/220473/jaime-andres-joaquin
Liga Nacional,ANDREW DESHAWN CORUM,"CORUM, A.",01/09/1997,https://www.laliganacional.com.ar/laliga/jugador/76/89434/382493/corum-andrew-deshawn
Liga Nacional,ANGEL XAVIER REYES CUEVAS,"REYES, A.",14/03/2002,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/379576/reyes-cuevas-angel-xavier
Liga Nacional,ANTHOAN MAURICE URBINA SERRANO,"URBINA, A.",07/09/2005,https://www.laliganacional.com.ar/laliga/jugador/80/89148/273290/urbina-serrano-anthoan-maurice
Liga Nacional,ANTHONY JAMES PEACOCK,"PEACOCK, A.",10/08/1999,https://www.laliganacional.com.ar/laliga/jugador/46/88969/389137/peacock-anthony-james
Liga Nacional,ANTON EMANUEL COOK,"COOK, A.",26/08/1995,https://www.laliganacional.com.ar/laliga/jugador/1790/89036/386057/cook-anton-emanuel
Liga Nacional,ANYELO JOSE CISNEROS SIERRA,"CISNEROS, A.",31/01/1997,https://www.laliganacional.com.ar/laliga/jugador/1474/88693/321294/cisneros-sierra-anyelo-jose
Liga Nacional,AUGUSTO ALONSO,"ALONSO, A.",12/05/1998,https://www.laliganacional.com.ar/laliga/jugador/88/89192/376852/alonso-augusto
Liga Nacional,AUGUSTO MORESCO,"MORESCO, A.",28/09/2005,https://www.laliganacional.com.ar/laliga/jugador/1541/89128/325825/moresco-augusto
Liga Nacional,BENJAMIN IMAZ URIARTE,"IMAZ, B.",06/11/2007,https://www.laliganacional.com.ar/laliga/jugador/1498/89552/332193/imaz-uriarte-benjamin
Liga Nacional,BRANDON JAMES BEAVERS,"BEAVERS, B.",15/05/2001,https://www.laliganacional.com.ar/laliga/jugador/1541/89128/382372/beavers-brandon-james
Liga Nacional,BRANDON LAMAR ROBINSON,"ROBINSON, B.",25/03/1989,https://www.laliganacional.com.ar/laliga/jugador/1869/89416/209661/robinson-brandon-lamar
Liga Nacional,BRUNO SANSIMONI,"SANSIMONI, B.",22/04/1996,https://www.laliganacional.com.ar/laliga/jugador/2305/89125/379318/sansimoni-bruno
Liga Nacional,BRYAN JOSE CARABALI POROZO,"CARABALI, B.",24/08/1999,https://www.laliganacional.com.ar/laliga/jugador/1474/88693/385326/carabali-porozo-bryan-jose
Liga Nacional,CAMILO RODRIGUEZ,"RODRIGUEZ, C.",20/03/2006,https://www.laliganacional.com.ar/laliga/jugador/88/89192/385861/rodriguez-camilo
