gameId,gameName,date,teamA_code,teamB_code,period,timeRemaining,scoreA,scoreB,orgId,teamCode,personId,firstName,lastName,uniformNumber,actionCode,actionText,made,pts,shotType,x,y
125521,29454-A-1,,URU,ARG,Q1,9:46,0,0,155,URU,407935,Gabriel,Venet,15,P3,3pt jump shot missed,0,3,3PT,35,119
125521,29454-A-1,,URU,ARG,Q1,9:38,0,0,155,URU,407647,Gabriel,Fata,19,P2,2pt jump shot missed,0,2,2PT,105,37
125521,29454-A-1,,URU,ARG,Q1,9:35,0,0,155,URU,407936,Lautaro,Gomez,10,P2,2pt jump shot missed,0,2,2PT,164,49
125521,29454-A-1,,URU,ARG,Q1,9:29,3,0,155,URU,329851,Nicolas,Testa,11,P3,3pt jump shot made,1,3,3PT,239,127
125521,29454-A-1,,URU,ARG,Q1,9:11,3,0,14,ARG,408871,Manuel,Hernandez,4,P3,3pt jump shot from center missed,0,3,3PT,133,165
125521,29454-A-1,,URU,ARG,Q1,8:49,3,0,14,ARG,408870,Gonzalo,Aman,8,FT,1st of 2 free throws missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q1,8:49,3,0,14,ARG,408870,Gonzalo,Aman,8,FT,2nd of 2 free throws missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q1,8:37,3,0,155,URU,407936,Lautaro,Gomez,10,P2,layup missed,0,2,2PT,113,47
125521,29454-A-1,,URU,ARG,Q1,8:25,3,0,14,ARG,355917,Facundo,Cornalis,5,P3,3pt jump shot missed,0,3,3PT,47,137
125521,29454-A-1,,URU,ARG,Q1,8:13,3,0,155,URU,407936,Lautaro,Gomez,10,P2,"2PtsFG under the basket, jump shot missed",0,2,2PT,130,46
125521,29454-A-1,,URU,ARG,Q1,8:01,3,3,14,ARG,408871,Manuel,Hernandez,4,P3,3pt floating jump shot made,1,3,3PT,13,93
125521,29454-A-1,,URU,ARG,Q1,7:43,3,3,155,URU,407647,Gabriel,Fata,19,P2,2pt hook shot missed,0,2,2PT,92,33
125521,29454-A-1,,URU,ARG,Q1,7:37,3,5,14,ARG,408870,Gonzalo,Aman,8,P2,"2PtsFG under the basket, fast break, layup made",1,2,2PT,123,39
125521,29454-A-1,,URU,ARG,Q1,7:37,3,6,14,ARG,408870,Gonzalo,Aman,8,FT,1st free throw made,1,1,FT,0,0
